tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_subkegiatan,kd_subkegiatan_str,nama_subkegiatan,pagu_subkegiatan,kd_subkegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067281,14662307,"2.23.01.2.09.0006","Pemeliharaan Peralatan dan Mesin Lainnya",16490000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067286,14662308,"2.23.01.2.08.0002","Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",123810368,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563383,13067290,14662309,"2.24.04.2.01.0004","Penyediaan Daftar dan Penetapan Izin Penggunaan Arsip yang Bersifat Tertutup",27371138,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067280,14662310,"2.23.02.2.01.0017","Penyusunan Data dan Informasi Perpustakaan",39347662,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662311,"2.23.01.2.01.0006","Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD",1992284,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067291,14662312,"2.23.01.2.02.0005","Koordinasi dan Penyusunan Laporan Keuangan Akhir Tahun SKPD",2106900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067280,14662313,"2.23.02.2.01.0004","Pembinaan Perpustakaan pada Satuan Pendidikan Dasar di Seluruh Wilayah Kabupaten/Kota Sesuai dengan Standar Nasional Perpustakaan",25269198,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662314,"2.23.01.2.01.0007","Evaluasi Kinerja Perangkat Daerah",2726100,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662315,"2.23.01.2.06.0008","Fasilitasi Kunjungan Tamu",16969900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662316,"2.23.01.2.06.0010","Penatausahaan Arsip Dinamis pada SKPD",1999800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563384,13067292,14662317,"2.24.03.2.04.0002","Penilaian dan Penetapan Hasil Alih Media Sesuai Persyaratan Penjaminan Keabsahan Arsip",23179900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067293,14662318,"2.23.01.2.05.0005","Monitoring, Evaluasi, dan Penilaian Kinerja Pegawai",1500000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563379,13067280,14662319,"2.23.02.2.01.0016","Peningkatan Kapasitas Tenaga Perpustakaan dan Pustakawan Tingkat Daerah Kabupaten/Kota",40485100,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067285,14662320,"2.23.01.2.06.0006","Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan",24055500,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152336,2563380,13067288,14662321,"2.23.01.2.01.0002","Koordinasi dan Penyusunan Dokumen RKA-SKPD",7435599,0,false,"2025-10-10"
